iter	Passed	Remaining
0	6	3092
1	9	2332
2	12	2125
3	16	1995
4	19	1967
5	24	1977
6	26	1880
7	30	1857
8	32	1789
9	35	1729
10	37	1676
11	39	1615
12	42	1599
13	46	1600
14	48	1563
15	51	1551
16	54	1536
17	56	1513
18	59	1500
19	61	1473
20	63	1448
21	65	1427
22	68	1411
23	71	1421
24	122	2333
25	131	2399
26	152	2673
27	163	2764
28	168	2729
29	170	2677
30	173	2622
31	176	2578
32	178	2530
33	190	2604
34	201	2679
35	208	2693
36	212	2653
37	214	2605
38	216	2563
39	219	2526
40	222	2485
41	224	2443
42	226	2404
43	228	2364
44	230	2328
45	233	2300
46	235	2269
47	237	2236
48	239	2204
49	241	2173
50	243	2144
51	245	2114
52	249	2101
53	251	2079
54	254	2058
55	257	2039
56	259	2019
57	262	1998
58	264	1976
59	266	1954
60	268	1932
61	270	1912
62	272	1893
63	274	1872
64	276	1853
65	279	1836
66	281	1819
67	283	1800
68	285	1782
69	287	1764
70	289	1748
71	291	1732
72	293	1717
73	296	1706
74	299	1694
75	301	1680
76	303	1665
77	305	1650
78	307	1637
79	309	1623
80	311	1611
81	314	1602
82	316	1591
83	319	1579
84	321	1568
85	323	1556
86	325	1547
87	328	1537
88	330	1526
89	332	1516
90	335	1506
91	337	1495
92	339	1485
93	342	1478
94	344	1470
95	347	1460
96	349	1451
97	351	1442
98	353	1432
99	355	1423
100	358	1415
101	360	1407
102	363	1399
103	365	1391
104	367	1382
105	369	1374
106	371	1365
107	374	1358
108	376	1351
109	378	1342
110	380	1334
111	382	1326
112	384	1317
113	386	1310
114	389	1305
115	392	1299
116	394	1292
117	396	1284
118	398	1277
119	400	1269
120	403	1262
121	405	1256
122	407	1249
123	409	1242
124	412	1236
125	414	1229
126	416	1222
127	418	1215
128	420	1208
129	422	1202
130	424	1196
131	426	1189
132	428	1182
133	430	1176
134	432	1169
135	435	1165
136	437	1159
137	440	1155
138	442	1149
139	445	1144
140	447	1139
141	449	1134
142	453	1131
143	455	1127
144	458	1123
145	461	1118
146	464	1114
147	466	1109
148	469	1104
149	471	1099
150	474	1095
151	476	1091
152	478	1085
153	480	1080
154	483	1076
155	486	1071
156	488	1067
157	491	1063
158	493	1059
159	496	1054
160	498	1050
161	502	1047
162	505	1044
163	507	1040
164	509	1034
165	511	1029
166	513	1024
167	516	1019
168	518	1015
169	520	1011
170	523	1007
171	525	1002
172	528	998
173	530	993
174	532	988
175	535	985
176	537	980
177	539	975
178	541	970
179	543	965
180	545	961
181	547	956
182	550	952
183	552	948
184	554	944
185	556	939
186	558	934
187	560	930
188	563	926
189	565	922
190	567	918
191	569	913
192	571	909
193	573	904
194	575	900
195	577	895
196	580	892
197	582	888
198	584	884
199	586	879
200	588	875
201	590	871
202	592	867
203	595	863
204	597	859
205	599	855
206	601	851
207	603	847
208	605	842
209	607	838
210	609	834
211	611	831
212	614	828
213	616	824
214	618	820
215	620	816
216	623	812
217	625	808
218	627	805
219	629	801
220	631	797
221	633	793
222	635	789
223	637	785
224	639	781
225	641	778
226	644	774
227	646	770
228	647	766
229	649	762
230	651	759
231	653	755
232	655	751
233	657	747
234	659	744
235	661	740
236	663	736
237	665	732
238	667	728
239	668	724
240	670	720
241	672	716
242	674	712
243	676	709
244	678	706
245	680	702
246	682	698
247	683	694
248	684	690
249	685	685
250	687	681
251	689	678
252	691	674
253	693	671
254	694	667
255	696	663
256	698	659
257	699	656
258	701	652
259	702	648
260	704	644
261	706	642
262	709	639
263	711	636
264	713	632
265	715	629
266	716	625
267	718	621
268	719	618
269	721	614
270	723	611
271	725	608
272	727	604
273	728	601
274	730	597
275	731	593
276	733	590
277	735	586
278	736	583
279	738	580
280	740	577
281	742	573
282	743	570
283	745	566
284	746	563
285	748	559
286	749	556
287	751	553
288	753	550
289	755	546
290	756	543
291	758	540
292	760	536
293	761	533
294	763	530
295	764	527
296	766	523
297	768	520
298	770	517
299	772	514
300	773	511
301	775	508
302	777	505
303	778	502
304	780	498
305	781	495
306	783	492
307	785	489
