Feature,Importance
Demand Forecast,32.01578032929121
InventoryQuant,9.008309767632413
Promotion,9.000546375046211
Price_Promo_Interaction,6.073133749554894
Discount_Promo_Interaction,4.7081959535815665
Discount,3.9419882426038297
Rolling_Sold_std_4w,3.1559037297950367
Forecast_vs_Actual,2.7415516867939482
Price_vs_Competitor,2.6783711695857972
Price,2.647485449829916
Rolling_Sold_4w,2.638658669141751
Lagged_Sold_4w,2.367595759890465
Sales_Velocity,2.234557921985147
Lagged_Sold_2w,1.8457185373501763
Stock_Coverage_Weeks,1.7810983844037898
Competitor Pricing,1.5999344908947883
Lagged_Sold_1w,1.5629761076563178
Week_Cos,1.3481750466980786
Week_Sin,1.228200411255759
Week_of_Year,0.8583196586548729
